slug,name,address,borough,neighborhood,lat,lng,likelySupporterCountry,venueTypes,venueIntent,showsSoccer,rating,gameDayScore,approximateCapacity,reservationType,reservationUrl,reservationPhone,website,notes
brazil-berimbau-west-village,"Berimbau Brazilian Table","43 Carmine St, New York, NY 10014",Manhattan,"West Village",40.7305,-74.0031,brazil,"restaurant|bar",cultural_dining,false,4.6,7.3,76,resy,,,"https://www.berimbaunyc.com/","Warm Brazilian table service in the West Village, ideal for dinner, dates, and cultural dining."
brazil-berimbau-36th-street,"Berimbau Brazilian Table 36th Street","3 W 36th St, New York, NY 10018",Manhattan,"Midtown",40.7511,-73.9838,brazil,"restaurant|bar|lounge",both,true,4.5,8.4,132,resy,,,"https://www.berimbaunyc.com/","Spacious Midtown Brazilian dining room with a full bar and a more game-friendly energy than the West Village room."
portugal-o-lavrador,"O Lavrador Restaurant & Bar","138-40 101st Ave, Jamaica, NY 11435",Queens,"Jamaica",40.6945,-73.8095,portugal,"restaurant|bar",cultural_dining,false,4.4,7.2,140,phone,,718-526-1526,"https://www.olavradorrestaurant.com/","Authentic Portuguese institution in Queens with classic Iberian dishes, family-style service, and a loyal neighborhood crowd."
portugal-taberna-97,"Taberna 97","97 St Marks Pl, New York, NY 10009",Manhattan,"East Village",40.7272,-73.9846,portugal,"restaurant|bar",both,true,4.5,8.1,70,phone,,(212) 477-5600,"https://www.taberna97.com","Portuguese tavern in the East Village with a social bar setup that works for dinners, drinks, and match nights."
portugal-joey-bats-grand-central,"Joey Bats Cafe - Grand Central","89 E 42nd St, New York, NY 10017",Manhattan,"Midtown East",40.7527,-73.9772,portugal,"cafe|bakery",cultural_dining,false,4.7,6.8,32,none,,,"https://joeybatscafe.com/","Portuguese pastry counter at Grand Central known for pastel de nata and quick downtown commuter stops."
portugal-joey-bats-chelsea-market,"Joey Bats Cafe - Chelsea Market","75 9th Ave, New York, NY 10011",Manhattan,"Chelsea",40.7425,-74.0055,portugal,"cafe|bakery",cultural_dining,false,4.6,6.7,30,none,,,"https://joeybatscafe.com/","Chelsea Market location for warm Portuguese custard tarts, coffee, and an easy casual stop."
france-balthazar,"Balthazar","80 Spring St, New York, NY 10012",Manhattan,"SoHo",40.7222,-73.9987,france,"restaurant",cultural_dining,false,4.7,7.5,200,opentable,,,"https://balthazarny.com/","Classic SoHo French brasserie with the kind of polished crowd and pastry program that keeps it a New York institution."
france-le-coucou,"Le Coucou","138 Lafayette St, New York, NY 10013",Manhattan,"NoHo",40.7248,-73.9977,france,"restaurant|lounge",cultural_dining,false,4.8,7.7,120,resy,,,"https://lecoucou.com/","Elegant French fine dining room with a classic, date-night atmosphere and serious kitchen craft."
france-frenchette,"Frenchette","241 W Broadway, New York, NY 10013",Manhattan,"Tribeca",40.7198,-74.0102,france,"restaurant|bar",cultural_dining,false,4.7,7.4,110,opentable,,,"https://www.frenchettenyc.com/","Tribeca French restaurant with a lively room, natural wine, and a very established dining reputation."
france-la-grande-boucherie,"La Grande Boucherie","145 W 53rd St, New York, NY 10019",Manhattan,"Midtown",40.7628,-73.9806,france,"restaurant|lounge",cultural_dining,false,4.6,7.2,240,resy,,,"https://www.lagrandeboucherie.com/","Grand French brasserie near Midtown that plays to the classic special-occasion crowd and after-work diners."
japan-sakagura,"Sakagura","211 E 43rd St B1, New York, NY 10017",Manhattan,"Midtown East",40.7512,-73.9724,japan,"restaurant|bar",both,true,4.7,7.9,100,opentable,,,"https://www.sakagura.com/","Hidden basement sake bar and Japanese tapas room with a strong regular crowd and exceptional depth of drinks."
japan-ippudo-east-village,"IPPUDO NY","65 4th Ave, New York, NY 10003",Manhattan,"East Village",40.7333,-73.9907,japan,"restaurant",cultural_dining,false,4.5,7.1,85,none,,,"https://www.ippudony.com/","Flagship ramen shop in the East Village with a compact, reliable dining room and a strong neighborhood fan base."
japan-ippudo-westside,"IPPUDO Westside","20 W 51st St, New York, NY 10019",Manhattan,"Midtown",40.7603,-73.9795,japan,"restaurant",cultural_dining,false,4.5,7.0,90,none,,,"https://www.ippudony.com/","Midtown ramen outpost with dependable bowls, efficient service, and easy pre-game or post-game dining."
japan-japan-village,"Japan Village","934 3rd Ave, Brooklyn, NY 11232",Brooklyn,"Sunset Park",40.6505,-74.0051,japan,"cultural_center|restaurant",cultural_dining,false,4.6,7.6,180,none,,,"https://www.japanvillage.com/","Brooklyn food hall and market with Japanese groceries, eateries, and a strong community anchor feel."
morocco-cafe-mogador-east-village,"Cafe Mogador","101 St Marks Pl, New York, NY 10009",Manhattan,"East Village",40.7271,-73.9842,morocco,"restaurant|bar",both,true,4.5,8.0,110,opentable,,,"https://cafe-mogador.wherevi.com/","Beloved Moroccan-Mediterranean restaurant and bar on St. Marks with a bohemian, group-friendly crowd."
morocco-cafe-mogador-williamsburg,"Cafe Mogador Williamsburg","133 Wythe Ave, Brooklyn, NY 11249",Brooklyn,"Williamsburg",40.7163,-73.9649,morocco,"restaurant|bar",both,true,4.5,7.9,100,opentable,,,"https://cafe-mogador.wherevi.com/","Brooklyn outpost of the classic Moroccan restaurant, with a young crowd and easy group dinner energy."
morocco-zerza,"Zerza","88 Essex St Kiosk #36, New York, NY 10002",Manhattan,"Lower East Side",40.7188,-73.9882,morocco,"restaurant|cafe",cultural_dining,false,4.4,7.0,28,none,,,"https://www.zerzany.com/contact","Moroccan kitchen inside Essex Market serving comforting North African dishes in a fast-casual format."
morocco-tagine,"Tagine","221 W 38th St, New York, NY 10018",Manhattan,"Midtown",40.7528,-73.9914,morocco,"restaurant|lounge",cultural_dining,false,4.2,7.1,150,phone,,(646) 326-8014,"https://www.taginenyc.com","Theatre-district Moroccan restaurant and lounge with a more nightlife-forward feel than the neighborhood staples."
usa-smithfield-hall,"Smithfield Hall","138 W 25th St, New York, NY 10001",Manhattan,"Chelsea",40.7446,-73.9937,,"bar|restaurant",watch_party,true,4.5,9.5,220,phone,,+1 212 929 9677,"https://smithfieldnyc.com/","Premier soccer bar with dozens of TVs, match-day coverage, and a track record of hosting fans for national-team fixtures."
usa-legends,"Legends","6 W 33rd St, New York, NY 10001",Manhattan,"Midtown",40.7487,-73.9851,,"bar|restaurant",sports_bar,true,4.4,9.0,260,opentable,,,"https://legends33.com/","Big Midtown sports bar known for broad game coverage, a strong crowd, and easy post-work meetups."
usa-banter-bar,"Banter Bar","132 Havemeyer St, Brooklyn, NY 11211",Brooklyn,"Williamsburg",40.7135,-73.9567,,"bar",sports_bar,true,4.6,9.2,90,none,,,"https://banterbrooklyn.com/","Williamsburg football bar with a loyal soccer crowd, plenty of screens, and a reputation as a Brooklyn match-day anchor."
usa-kent-ale-house,"The Kent Ale House","51 Kent Ave, Brooklyn, NY 11249",Brooklyn,"Williamsburg",40.7153,-73.9687,,"bar|restaurant",sports_bar,true,4.4,8.6,180,phone,,347-227-8624,"https://www.kentalehouse.com/","Williamsburg pub with big-group comfort, many TVs, and long-standing soccer coverage that makes it useful on busy match days."
england-the-churchill-tavern,"The Churchill Tavern","45 E 28th St, New York, NY 10016",Manhattan,"Rose Hill",40.7435,-73.9834,england,"bar|restaurant",sports_bar,true,4.3,9.0,140,opentable,,,"https://www.thechurchillny.com/","Proper English tavern with a late-night schedule, Sunday roasts, and a reliable football crowd."
england-jones-wood-foundry,"Jones Wood Foundry","401 E 76th St, New York, NY 10021",Manhattan,"Upper East Side",40.7711,-73.9569,england,"bar|restaurant",both,true,4.5,8.5,130,resy,,,"https://www.joneswoodfoundry.com/","Classic British pub escape on the Upper East Side with good beer, brunch, and a serious sports setup."
england-the-shakespeare,"The Shakespeare","24 E 39th St, New York, NY 10016",Manhattan,"Murray Hill",40.7495,-73.9821,england,"bar|restaurant",sports_bar,true,4.4,8.4,104,opentable,,,"https://www.theshakespearenyc.com/","English pub beneath the William that can swing from business lunch to post-work football watch party."
england-carraghers,"Carragher's","17 John St, New York, NY 10038",Manhattan,"Financial District",40.7079,-74.0085,england,"bar|restaurant",watch_party,true,4.5,9.4,180,none,,,"https://www.carraghersnyc.com/","Liverpool-linked sports bar in FiDi with an unmistakable match-day focus and broad sports coverage."
spain-la-nacional,"La Nacional","239 W 14th St, New York, NY 10011",Manhattan,"Chelsea",40.7387,-74.0033,spain,"cultural_center|restaurant",both,true,4.5,8.3,200,phone,,(917) 388-2888,"https://lanacional.org/","Historic Spanish cultural institution and restaurant with events, flamenco nights, and deep community roots."
spain-mercado-little-spain,"Mercado Little Spain","10 Hudson Yards, New York, NY 10001",Manhattan,"Hudson Yards",40.7542,-74.0027,spain,"restaurant|cultural_center",cultural_dining,false,4.6,7.8,320,none,,,"https://mercadolittlespain.com/","Large Spanish market and dining hall with tapas, jamón, and a polished food-hall experience."
spain-boqueria-soho,"Boqueria SoHo","171 Spring St, New York, NY 10012",Manhattan,"SoHo",40.7243,-74.0059,spain,"restaurant|bar",both,true,4.5,8.1,150,resy,,,"https://boqueriarestaurant.com/location/nyc/soho/","Busy tapas bar with a strong bar program and a layout that works well for group dinners and watch nights."
spain-despana,"Despaña","408 Broome St, New York, NY 10013",Manhattan,"SoHo",40.7211,-74.0019,spain,"cafe|restaurant|bakery",cultural_dining,false,4.6,7.0,60,none,,,"https://despananyc.com/","Spanish market and cafe focused on conservas, cured meats, and a classic neighborhood pantry feel."
canada-mile-end-delicatessen,"Mile End Delicatessen","97 Hoyt St, Brooklyn, NY 11217",Brooklyn,"Boerum Hill",40.6867,-73.9936,canada,"restaurant|cafe",cultural_dining,false,4.6,7.2,60,none,,,"https://www.mileenddeli.com/","Montreal-style deli with poutine, smoked meat, and a strong Canadian comfort-food identity in Brooklyn."
canada-chez-ma-tante,"Chez Ma Tante","90 Calyer St, Brooklyn, NY 11222",Brooklyn,"Greenpoint",40.7268,-73.9527,canada,"restaurant|bar",cultural_dining,false,4.7,7.1,70,resy,,,"https://chezmatantebk.com/","Canadian-born restaurant in Greenpoint with a polished, neighborhood-dining atmosphere and classic bistro energy."
canada-m-wells-steakhouse,"M. Wells Steakhouse","43-15 Crescent St, Long Island City, NY 11101",Queens,"Long Island City",40.7492,-73.9491,canada,"restaurant|lounge",cultural_dining,false,4.6,7.4,85,opentable,,,"https://m-wells.restaurants-world.com/","Long Island City institution with Québécois roots, a strong wine list, and an adventurous dining crowd."
austria-cafe-sabarsky,"Cafe Sabarsky","1048 5th Ave, New York, NY 10028",Manhattan,"Upper East Side",40.7794,-73.9632,austria,"cafe|restaurant",cultural_dining,false,4.7,7.2,58,none,,,"https://www.neuegalerie.org/cafesabarsky","Austrian coffeehouse in the Neue Galerie known for Viennese pastries, cakes, and traditional cafe culture."
austria-cafe-katja,"Cafe Katja","79 Orchard St, New York, NY 10002",Manhattan,"Lower East Side",40.7189,-73.9880,austria,"restaurant|bar",cultural_dining,false,4.5,7.0,72,resy,,,"https://www.cafekatja.com/","Long-running Austrian restaurant and bar on Orchard Street with schnitzel, spaetzle, and strong neighborhood roots."
austria-wallse,"Wallsé","344 W 11th St, New York, NY 10014",Manhattan,"West Village",40.7382,-74.0074,austria,"restaurant",cultural_dining,false,4.6,7.3,70,opentable,,,"https://www.wallse.com/","Refined Austrian restaurant from Kurt Gutenbrunner with a loyal West Village following."
belgium-bxl-cafe,"BXL Cafe","125 W 43rd St, New York, NY 10036",Manhattan,"Midtown",40.7566,-73.9849,belgium,"bar|restaurant",sports_bar,true,4.4,8.5,120,none,,,"https://www.bxlcafe.com/","Established Belgian beer cafe in Times Square with mussels, frites, and a game-friendly bar room."
belgium-bxl-zoute,"BXL Zoute","50 W 22nd St, New York, NY 10010",Manhattan,"Flatiron",40.7414,-73.9910,belgium,"bar|restaurant",sports_bar,true,4.5,8.3,100,none,,,"https://www.bxlzoute.com/","Flatiron Belgian beer bar and brasserie with strong football-friendly energy and classic pub food."
belgium-b-cafe-east,"B Cafe East","210 E 75th St, New York, NY 10021",Manhattan,"Upper East Side",40.7723,-73.9581,belgium,"restaurant|bar",cultural_dining,false,4.4,7.0,85,none,,,"https://www.bcafeny.com/","Upper East Side Belgian cafe known for waffles, beer, and a stable neighborhood following."
bosnia-and-herzegovina-cevabdzinica-sarajevo,"Cevabdzinica Sarajevo","35-16 31st Ave, Astoria, NY 11106",Queens,"Astoria",40.7644,-73.9235,bosnia-and-herzegovina,"restaurant",cultural_dining,false,4.6,7.1,45,none,,,"","Bosnian grill and bakery in Astoria known for cevapi and Balkan comfort food. LOW_CONFIDENCE: neighborhood-centered coords."
bosnia-and-herzegovina-djerdan-burek,"Djerdan Burek","38-07 30th Ave, Astoria, NY 11103",Queens,"Astoria",40.7644,-73.9235,bosnia-and-herzegovina,"bakery|restaurant",cultural_dining,false,4.5,6.9,36,none,,,"","Balkan bakery and casual dining room with burek and savory pies popular with ex-Yugoslav communities. LOW_CONFIDENCE: neighborhood-centered coords."
bosnia-and-herzegovina-selo,"Selo","34-39 31st St, Astoria, NY 11106",Queens,"Astoria",40.7644,-73.9235,bosnia-and-herzegovina,"restaurant|bar",both,true,4.4,7.8,80,none,,,"https://www.selonyc.com/","Astoria Balkan spot that blends Serbian and Bosnian-style dishes and can host a match-night crowd. sharedVenue: true"
croatia-selo,"Selo","34-39 31st St, Astoria, NY 11106",Queens,"Astoria",40.7644,-73.9235,croatia,"restaurant|bar",both,true,4.4,7.8,80,none,,,"https://www.selonyc.com/","Astoria Balkan restaurant that fits Croatian community dining and occasional match watching. sharedVenue: true"
croatia-ukus,"Ukus","37-17 30th Ave, Astoria, NY 11103",Queens,"Astoria",40.7644,-73.9235,croatia,"restaurant",cultural_dining,false,4.4,6.8,44,none,,,"","Balkan home-cooking spot in Astoria that works as an honest Croatian-adjacent community dining pick. LOW_CONFIDENCE: neighborhood-centered coords."
croatia-villa-berulia,"Villa Berulia","1073 1st Ave, New York, NY 10022",Manhattan,"Midtown East",40.7593,-73.9665,croatia,"restaurant|bar",cultural_dining,false,4.4,6.9,75,resy,,,"https://www.villaberulia.com/","Croatian seafood-oriented restaurant with a polished Midtown East room. LOW_CONFIDENCE: verify exact supporter fit."
czechia-bohemian-hall,"Bohemian Hall & Beer Garden","29-19 24th Ave, Astoria, NY 11102",Queens,"Astoria",40.7725,-73.9228,czechia,"bar|restaurant|cultural_center",watch_party,true,4.5,8.9,260,none,,,"https://bohemianhall.com/","Historic Czech and Slovak beer garden in Astoria that naturally fits big tournament gatherings."
czechia-bohemian-spirit,"Bohemian Spirit Restaurant","321 E 73rd St, New York, NY 10021",Manhattan,"Upper East Side",40.7696,-73.9565,czechia,"restaurant|bar",cultural_dining,false,4.4,6.9,60,none,,,"https://www.bohemianspiritrestaurant.com/","Czech restaurant serving schnitzel, dumplings, and pilsner in a compact Upper East Side setting."
czechia-koliba,"Koliba","3111 23rd Ave, Astoria, NY 11105",Queens,"Astoria",40.7792,-73.9090,czechia,"restaurant",cultural_dining,false,4.5,7.0,62,none,,,"https://www.kolibany.com/","Long-running Central European restaurant with Czech and Slovak staples in Astoria."
germany-heidelberg,"Heidelberg Restaurant","1648 2nd Ave, New York, NY 10028",Manhattan,"Upper East Side",40.7773,-73.9539,germany,"restaurant|bar",sports_bar,true,4.5,8.4,115,none,,,"https://www.heidelberg-nyc.com/","Classic German beer hall and restaurant that reliably reads as a Germany-friendly match venue."
germany-zum-stammtisch,"Zum Stammtisch","69-46 Myrtle Ave, Glendale, NY 11385",Queens,"Glendale",40.7028,-73.8839,germany,"restaurant|bar",both,true,4.6,8.6,140,none,,,"https://zumstammtisch.com/","Queens German institution with giant beers, schnitzel, and a room that can handle tournament crowds."
germany-schallers-stube,"Schaller's Stube Sausage Bar","1652 2nd Ave, New York, NY 10028",Manhattan,"Upper East Side",40.7774,-73.9537,germany,"bar|restaurant",sports_bar,true,4.4,8.0,70,none,,,"https://www.schallerweber.com/pages/schaller-s-stube","German sausage bar from Schaller & Weber with beer, football-bar energy, and quick-service appeal."
netherlands-dutch-kills,"Dutch Kills","27-24 Jackson Ave, Long Island City, NY 11101",Queens,"Long Island City",40.7447,-73.9485,netherlands,"bar|lounge",sports_bar,true,4.5,7.7,85,none,,,"https://www.dutchkillsbar.com/","Cocktail bar with Dutch branding in LIC. LOW_CONFIDENCE: not specifically Dutch football culture, but a plausible Oranje-adjacent social pick with neighborhood-centered coords."
netherlands-the-dutch,"The Dutch","131 Sullivan St, New York, NY 10012",Manhattan,"SoHo",40.7233,-74.0030,netherlands,"restaurant|bar",cultural_dining,false,4.4,6.8,110,resy,,,"https://www.thedutchnyc.com/","SoHo restaurant with Dutch branding. LOW_CONFIDENCE: more branding than actual Dutch supporter venue."
netherlands-dutch-freds,"Dutch Fred's","307 W 47th St, New York, NY 10036",Manhattan,"Hell's Kitchen",40.7608,-73.9895,netherlands,"bar|restaurant",sports_bar,true,4.4,7.6,95,none,,,"https://www.dutchfreds.com/","Hell's Kitchen cocktail bar and kitchen. LOW_CONFIDENCE: useful placeholder for Dutch-tagged social filtering rather than a verified Oranje hub."
norway-aquavit,"Aquavit","65 E 55th St, New York, NY 10022",Manhattan,"Midtown East",40.7606,-73.9726,norway,"restaurant|bar",cultural_dining,false,4.7,7.1,95,opentable,,,"https://www.aquavit.org/","Scandinavian fine-dining landmark that can honestly serve as a Nordic dining anchor for Norway. LOW_CONFIDENCE: Scandinavian rather than specifically Norwegian."
scotland-highlands,"Highlands NYC","150 W 10th St, New York, NY 10014",Manhattan,"West Village",40.7346,-74.0034,scotland,"bar|restaurant",sports_bar,true,4.5,8.2,105,none,,,"https://www.highlandsnyc.com/","Scottish-inspired West Village bar that naturally fits Tartan Army-style watch parties."
sweden-fika-58th,"Fika","41 W 58th St, New York, NY 10019",Manhattan,"Midtown",40.7651,-73.9760,sweden,"cafe",cultural_dining,false,4.4,6.8,35,none,,,"https://fikanyc.com/","Well-known Swedish coffee bar brand with cinnamon buns and a clear cultural identity."
sweden-bjork,"Björk Cafe & Bistro","58 Park Ave, New York, NY 10016",Manhattan,"Murray Hill",40.7471,-73.9817,sweden,"cafe|restaurant",cultural_dining,false,4.4,6.7,55,none,,,"https://www.scandinaviahouse.org/visit/shop-dine/bjork-cafe-bistro/","Scandinavian House cafe that fits Sweden-friendly cultural browsing and dining."
switzerland-cafe-select,"Cafe Select","212 Lafayette St, New York, NY 10012",Manhattan,"NoHo",40.7282,-73.9929,switzerland,"restaurant|bar",cultural_dining,false,4.4,6.9,78,resy,,,"https://www.cafeselectnyc.com/","Swiss-inspired brasserie in NoHo with rösti, fondue nights, and long-standing neighborhood recognition."
switzerland-koloman,"Koloman","16 W 29th St, New York, NY 10001",Manhattan,"NoMad",40.7449,-73.9883,switzerland,"restaurant|bar",cultural_dining,false,4.5,6.6,90,resy,,,"https://www.kolomanrestaurant.com/","Elegant central-European-leaning dining room. LOW_CONFIDENCE: Austrian/French profile rather than Swiss."
turkiye-tacis-beyti,"Taci's Beyti","136-18 39th Ave, Flushing, NY 11354",Queens,"Flushing",40.7597,-73.8301,turkiye,"restaurant",cultural_dining,false,4.6,7.2,95,none,,,"https://tacisbeyti.com/","Large Turkish restaurant in Flushing known for kebabs, breads, and family-style dining. LOW_CONFIDENCE: neighborhood-centered coords."
turkiye-sip-sak,"Sip Sak","928 2nd Ave, New York, NY 10022",Manhattan,"Midtown East",40.7566,-73.9698,turkiye,"restaurant|bar",both,true,4.5,8.0,82,resy,,,"https://www.sipsaknyc.com/","Established Turkish favorite that can credibly handle a lively match-service dinner crowd."
turkiye-ali-baba,"Ali Baba","862 2nd Ave, New York, NY 10017",Manhattan,"Midtown East",40.7519,-73.9706,turkiye,"restaurant",cultural_dining,false,4.4,6.9,68,none,,,"https://www.alibabanyc.com/","Casual Turkish and Mediterranean restaurant with a long Midtown East presence."
australia-rubys,"Ruby's Cafe","219 Mulberry St, New York, NY 10012",Manhattan,"Nolita",40.7238,-73.9950,australia,"cafe|restaurant",cultural_dining,false,4.4,6.8,55,none,,,"https://www.rubyscafe.com/","Australian-founded all-day cafe brand with a strong Nolita following. LOW_CONFIDENCE: neighborhood-centered coords."
australia-two-hands,"Two Hands","164 Mott St, New York, NY 10013",Manhattan,"Nolita",40.7238,-73.9950,australia,"cafe|restaurant",cultural_dining,false,4.5,6.9,60,none,,,"https://www.twohandsnyc.com/","Australian-style cafe known for brunch, coffee, and a polished downtown crowd. LOW_CONFIDENCE: neighborhood-centered coords."
australia-citizens-chelsea,"Citizens of Chelsea","401 W 25th St, New York, NY 10001",Manhattan,"Chelsea",40.7465,-74.0014,australia,"cafe|restaurant",cultural_dining,false,4.4,6.7,58,none,,,"https://www.citizens.cafe/","Australian cafe group with a bright Chelsea location and reliable all-day service. LOW_CONFIDENCE: neighborhood-centered coords."
ir-iran-sofreh,"Sofreh","75 St Marks Ave, Brooklyn, NY 11217",Brooklyn,"Prospect Heights",40.6775,-73.9680,ir-iran,"restaurant",cultural_dining,false,4.7,7.3,72,resy,,,"https://www.sofrehnyc.com/","Widely respected Persian restaurant with an elegant room and strong cultural credibility."
ir-iran-ravagh,"Ravagh Persian Grill","11 E 30th St, New York, NY 10016",Manhattan,"NoMad",40.7449,-73.9883,ir-iran,"restaurant",cultural_dining,false,4.5,7.0,78,none,,,"https://ravaghrestaurants.com/","Long-running Persian grill and kabob destination with broad appeal. LOW_CONFIDENCE: neighborhood-centered coords."
ir-iran-eyval,"Eyval","25 Bogart St, Brooklyn, NY 11206",Brooklyn,"Bushwick",40.6958,-73.9171,ir-iran,"restaurant|bar",both,true,4.6,8.0,88,resy,,,"https://www.eyvalnyc.com/","Modern Persian restaurant and bar with a lively room that can support a game-night atmosphere. LOW_CONFIDENCE: neighborhood-centered coords."
iraq-al-badawi,"Al Badawi","151 Atlantic Ave, Brooklyn, NY 11201",Brooklyn,"Brooklyn Heights",40.6907,-73.9967,iraq,"restaurant",cultural_dining,false,4.5,6.7,90,resy,,,"https://www.albadawinyc.com/","Levantine restaurant that works as an honest Arab-community fallback for Iraq fans. LOW_CONFIDENCE: not specifically Iraqi."
iraq-au-zaatar,"Au Za'atar","188 Avenue A, New York, NY 10009",Manhattan,"East Village",40.7265,-73.9815,iraq,"restaurant|bar",cultural_dining,false,4.5,6.6,85,resy,,,"https://www.auzaatar.com/","Popular Middle Eastern restaurant with the right regional feel for Iraq-tagged cultural dining. LOW_CONFIDENCE: neighborhood-centered coords and not specifically Iraqi."
jordan-ilili,"ilili","236 5th Ave, New York, NY 10001",Manhattan,"Flatiron",40.7411,-73.9897,jordan,"restaurant|bar",cultural_dining,false,4.6,6.9,140,opentable,,,"https://www.ililirestaurants.com/","High-profile Levantine restaurant that fits Jordan-adjacent dining expectations. LOW_CONFIDENCE: neighborhood-centered coords and not specifically Jordanian."
jordan-al-badawi,"Al Badawi","151 Atlantic Ave, Brooklyn, NY 11201",Brooklyn,"Brooklyn Heights",40.6907,-73.9967,jordan,"restaurant",cultural_dining,false,4.5,6.7,90,resy,,,"https://www.albadawinyc.com/","Broadly Levantine dining room that can serve Jordan-tagged food discovery. LOW_CONFIDENCE: not specifically Jordanian."
korea-republic-jongro,"Jongro BBQ","22 W 32nd St, New York, NY 10001",Manhattan,"Koreatown",40.7481,-73.9867,korea-republic,"restaurant",both,true,4.5,8.2,110,none,,,"https://www.jongrobbqny.com/","Major Koreatown barbecue destination that can plausibly host Korea match-night dinners."
korea-republic-cho-dang-gol,"Cho Dang Gol","55 W 35th St, New York, NY 10001",Manhattan,"Koreatown",40.7494,-73.9877,korea-republic,"restaurant",cultural_dining,false,4.6,7.0,85,none,,,"https://chodanggolnyc.com/","Long-running Korean restaurant known for tofu stews and classic comfort dishes in Koreatown."
korea-republic-her-name-is-han,"Her Name Is Han","17 E 31st St, New York, NY 10016",Manhattan,"NoMad",40.7454,-73.9836,korea-republic,"restaurant|bar",cultural_dining,false,4.5,6.9,70,resy,,,"https://www.hernameishan.com/","Well-known modern Korean restaurant that broadens the Korea dining set beyond BBQ."
saudi-arabia-qahwah-house,"Qahwah House","43-39 Steinway St, Astoria, NY 11103",Queens,"Astoria",40.7644,-73.9235,saudi-arabia,"cafe",cultural_dining,false,4.5,6.4,42,none,,,"https://www.qahwahhouse.com/","Coffeehouse with strong Arab and Gulf-adjacent appeal. LOW_CONFIDENCE: Yemeni rather than Saudi, with neighborhood-centered coords."
